statistics_code;statistics_label;time_code;time_label;time;1_variable_code;1_variable_label;1_variable_attribute_code;1_variable_attribute_label;2_variable_code;2_variable_label;2_variable_attribute_code;2_variable_attribute_label;value;value_unit;value_variable_code;value_variable_label;value_q
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1998;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1429,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2009;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;10109,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2020;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;8044,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2024;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;12041,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2005;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;11351,9;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;50377,5;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2011;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2187,6;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;78686,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;30556,7;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;51182,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-FICH-UA;Fichte, Tanne, Douglasie und sonstiges Nadelholz;52809,3;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;1999;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-KIEF-LAER;Kiefer und Lärche;9246,0;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2019;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;1740,2;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2022;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;10691,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2007;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;;Insgesamt;76728,1;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2003;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-BUCH-LAUB;Buche und sonstiges Laubholz;8786,4;1000 cbm;HES001;Holzeinschlag;e
41261;Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);JAHR;Jahr;2015;DINSG;Deutschland insgesamt;DG;Deutschland;HAGR01;Holzartengruppen;HLZ-EICH-REIC;Eiche und Roteiche;2079,0;1000 cbm;HES001;Holzeinschlag;e
